0.4518590000E+02 0.1701030000E+15
0.2123260000E+03 0.5817150000E+16
0.1150810000E+04 0.1899810000E+18
0.1044730000E+05 0.9743400000E+19
0.2624240000E+05 0.4974060000E+20
0.6591780000E+05 0.2430580000E+21
0.1655780000E+06 0.1150030000E+22
0.4162010000E+06 0.5268790000E+22
0.1045450000E+07 0.2315850000E+23
0.2626050000E+07 0.9765860000E+23
0.6597860000E+07 0.3911210000E+24
0.8306210000E+07 0.5259090000E+24
0.1657310000E+08 0.1435190000E+25
0.3306760000E+08 0.3833630000E+25
0.6599380000E+08 0.1006030000E+26
0.1317050000E+09 0.2604420000E+26
0.2627860000E+09 0.6677450000E+26
0.3309050000E+09 0.8737970000E+26
0.5244480000E+09 0.1629340000E+27
0.8313860000E+09 0.3029080000E+27
0.1046650000E+10 0.4129630000E+27
0.1317960000E+10 0.5036290000E+27
0.1661170000E+10 0.7546410000E+27
0.2159800000E+10 0.1062230000E+28
0.2658540000E+10 0.1391750000E+28
0.3323630000E+10 0.1859950000E+28
0.4155110000E+10 0.2484450000E+28
0.4986700000E+10 0.3146300000E+28
0.6650170000E+10 0.4563530000E+28
0.8314250000E+10 0.6085140000E+28
0.9978440000E+10 0.7694150000E+28
0.1164320000E+11 0.9378650000E+28
0.1330800000E+11 0.1112990000E+29
0.1397410000E+11 0.1184760000E+29
0.1663840000E+11 0.1480680000E+29
0.1996980000E+11 0.1868360000E+29
0.2496800000E+11 0.2481540000E+29
0.3330070000E+11 0.3572490000E+29
0.4163730000E+11 0.4733260000E+29
0.4997620000E+11 0.5951420000E+29
0.6665960000E+11 0.8526690000E+29
0.8335140000E+11 0.1125150000E+30
0.1000490000E+12 0.1409710000E+30
0.1334580000E+12 0.2007520000E+30
0.1668830000E+12 0.2635550000E+30
0.2505030000E+12 0.4300420000E+30
0.3341900000E+12 0.6060670000E+30
0.3743720000E+12 0.6930440000E+30
0.4179200000E+12 0.7887340000E+30
0.4681800000E+12 0.9007840000E+30
0.5016870000E+12 0.9763390000E+30
0.5854950000E+12 0.1167320000E+31
0.6693340000E+12 0.1353320000E+31
0.7532050000E+12 0.1501070000E+31
0.8370720000E+12 0.1609090000E+31
0.9209640000E+12 0.1700480000E+31
0.1004880000E+13 0.1785340000E+31
0.1172690000E+13 0.1948500000E+31
0.1340550000E+13 0.2110530000E+31
0.1508390000E+13 0.2274890000E+31
0.1676300000E+13 0.2442980000E+31
0.2515960000E+13 0.3349890000E+31
0.3356010000E+13 0.4365870000E+31
0.5036900000E+13 0.6675760000E+31
0.8401420000E+13 0.1212750000E+32
0.1345280000E+14 0.2168160000E+32
0.1682300000E+14 0.2866030000E+32
0.2525470000E+14 0.4745700000E+32
0.3369320000E+14 0.6752900000E+32
0.5058860000E+14 0.1103390000E+33
0.6749990000E+14 0.1570080000E+33
0.8442540000E+14 0.2095000000E+33
0.1013610000E+15 0.2708510000E+33
0.1267920000E+15 0.3877250000E+33
0.1352770000E+15 0.4355180000E+33
0.1437650000E+15 0.4888240000E+33
0.1488580000E+15 0.5237590000E+33
0.1522550000E+15 0.5483710000E+33
0.1556510000E+15 0.5740640000E+33
0.1590500000E+15 0.6008090000E+33
0.1607510000E+15 0.6145290000E+33
0.1624470000E+15 0.6284080000E+33
0.1632990000E+15 0.6353700000E+33
0.1658530000E+15 0.6404520000E+33
0.1675540000E+15 0.6591960000E+33
0.1692540000E+15 0.6784320000E+33
0.1900130000E+15 0.9550820000E+33
0.2033050000E+15 0.1175560000E+34
0.2133530000E+15 0.1366180000E+34
0.2396080000E+15 0.1966130000E+34
0.2546000000E+15 0.2376870000E+34
0.2691740000E+15 0.2824520000E+34
0.3024800000E+15 0.4028320000E+34
0.3400430000E+15 0.5691210000E+34
0.3824400000E+15 0.7970210000E+34
0.4303910000E+15 0.1110240000E+35
0.4846880000E+15 0.1544840000E+35
0.5171300000E+15 0.1849610000E+35
0.5463080000E+15 0.2154870000E+35
0.6965010000E+15 0.4225910000E+35
0.7882660000E+15 0.5908000000E+35
0.8939350000E+15 0.8216760000E+35
0.1016130000E+16 0.1134490000E+36
0.1093420000E+16 0.1355690000E+36
0.1158170000E+16 0.1553960000E+36
0.1324110000E+16 0.2112230000E+36
0.1519030000E+16 0.2854310000E+36
0.1749400000E+16 0.3848490000E+36
0.2023620000E+16 0.5196620000E+36
0.2352510000E+16 0.7006650000E+36
0.2750180000E+16 0.9406990000E+36
0.3233140000E+16 0.1256520000E+37
0.3825090000E+16 0.1671090000E+37
0.4552660000E+16 0.2210760000E+37
0.5451650000E+16 0.2909780000E+37
0.6570750000E+16 0.3813740000E+37
0.7964960000E+16 0.4973940000E+37
0.9706100000E+16 0.6456250000E+37
0.1188560000E+17 0.8343540000E+37
0.1462400000E+17 0.1074360000E+38
0.1806060000E+17 0.1378070000E+38
0.2238120000E+17 0.1761780000E+38
0.2781520000E+17 0.2245330000E+38
0.3464440000E+17 0.2852470000E+38
0.4323770000E+17 0.3613100000E+38
0.5401980000E+17 0.4560270000E+38
0.6755120000E+17 0.5735620000E+38
0.8450900000E+17 0.7187050000E+38
0.1057380000E+18 0.8973680000E+38
